用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id,score,segmented
758028119847639,卡布叻-米九,2026-04-25,上海,10,0,7629631350202957547,0.35235378031383735,10
3257181143045888,我的世界冷风,2026-04-25,上海,3,0,7629631350202957547,0.5,
10677939328,伤心吗喽穿孔重度依赖,2026-04-25,山东,尹正牛逼[色],0,7629631350202957547,0.8941695005625848,尹正 牛 逼 [ 色 ]
2497732719424383,🫧🍓,2026-04-25,广东,[赞][赞][赞][赞][赞],0,7629631350202957547,0.9999867146203416,[ 赞 ] [ 赞 ] [ 赞 ] [ 赞 ] [ 赞 ]
2986711554988488,明明白白和好的呀宝宝,2026-04-26,云南,[巧克力][福][巧克力][福][平安果][福][巧克力][月亮][图片表情],0,7629631350202957547,0.9935750032764936,[ 巧克力 ] [ 福 ] [ 巧克力 ] [ 福 ] [ 平安 果 ] [ 福 ] [ 巧克力 ] [ 月亮 ] [ 图片 表情 ]
1593639884034424,椿天,2026-04-25,内蒙古,111[色][色][色][黄脸干杯][黄脸干杯][黄脸干杯],0,7629631350202957547,0.00029133908971201716,111 [ 色 ] [ 色 ] [ 色 ] [ 黄脸 干杯 ] [ 黄脸 干杯 ] [ 黄脸 干杯 ]
88365279146,air,2026-04-27,陕西,@Frank,0,7629631350202957547,0.5,@ Frank
3215443902339488,鄂F88888,2026-04-25,湖北,[爱心][爱心][爱心],1,7629631350202957547,0.9920569982219984,[ 爱心 ] [ 爱心 ] [ 爱心 ]
4336949241848893,不厌椿,2026-02-19,重庆,难道没人懂undercut吗[捂脸],46,7608087748654911395,0.007350352052489906,难道 没人 懂 undercut [ 捂脸 ]
93107165351,Mr. Guo,2026-02-19,山东,周冠宇  山东淄博人。父亲是淄博很大的车行集团老板！,3,7608087748654911395,0.11656406850879919,周冠宇     山东 淄博 父亲 淄博 很大 车行 集团 老板
72068030473,扬哥YOUNGER,2026-02-18,湖北,到底是林还是张[看],0,7608087748654911395,0.49203625913670823,到底 林 张 [ ]
3844373471586936,驭风的喵,2026-02-19,四川,我是在最后名单里看到的勒布，当时就惊呆了，这阵容太顶了,3,7608087748654911395,0.70044467564672,最后 名单 里 看到 勒布 当时 惊呆 阵容 太顶
72310582040,Andersen,2026-02-24,海南,你读稿子都读错两次张臻东……,0,7608087748654911395,0.6863945362605075,读 稿子 读错 两次 张臻东 … …
59066185393,哪鹕不开鹈哪鹕,2026-02-19,甘肃,[机智]两个车进隧道车灯一亮，我当时就说要关灯超车了。,2,7608087748654911395,0.6986667049360514,[ 机智 ] 两个 车进 隧道 车灯 亮 当时 说 关灯 超车
3246221943114334,枫兰满城,2026-02-25,上海,不是哦，中国第一位是马青骅,0,7608087748654911395,0.7481455294813458,中国 第一位 马青骅
67664547487,奇月份的尾巴,2026-02-21,黑龙江,带扳手是少林足球[呲牙],2,7608087748654911395,0.7654289572807152,带 扳手 少林足球 [ 呲 牙 ]
3329800268685502,寒泽皓🏸️,2026-02-19,山东,当时的关灯超车，我就说怎么这么眼熟 [捂脸],0,7608087748654911395,0.01957312662455546,当时 关灯 超车 说 眼熟   [ 捂脸 ]
197558846370797,欧鸟忘机,2026-02-19,辽宁,我也是看了影评以后才知道这几个场面的意义，不然都不知道这几个人是谁[捂脸]这才叫真正的影评，而不是那种只会说影片烂的，,0,7608087748654911395,0.00689493322571566,影评 以后 知道 几个 场面 意义 知道 几个 [ 捂脸 ] 这才 真正 影评 那种 只会 说 影片 烂
3699233616310654,L 阿星/装备版,2026-02-19,云南,日本车队 gr雅力士,0,7608087748654911395,0.19538969982860588,日本 车队   gr 雅 力士
108161292388,那小子贼坏,2026-02-18,青海,关灯超车是确实有点东西的，很帅很燃[赞],0,7608087748654911395,0.9865569757052113,关灯 超车 确实 有点 东西 很帅 很燃 [ 赞 ]
106006340961,老李家电软装清洗,2026-02-19,辽宁,赛车电影只有韩导拍出来的最专业[捂脸],1,7608087748654911395,0.1362472268390107,赛车 电影 韩导 拍 专业 [ 捂脸 ]
1969954674989063,C10H14N2,2026-02-20,四川,周冠宇啊？没认出来[看],2,7608087748654911395,0.13113802869802038,周冠宇 没 认出来 [ ]
70826727165,飞泰の游戏世界,2026-02-20,上海,@豆包 提取文案,0,7608087748654911395,0.9325403042238396,@ 豆包   提取 文案
101301056595,名古屋鲸八🇵🇸,2026-02-19,陕西,勒芒24耐力赛 也有关灯超车,0,7608087748654911395,0.703725066610215,勒芒 24 耐力赛   灯 超车
1588168251147736,进攻D点！,2026-02-20,山东,赛车总动员致敬什么了 2018年的纳斯卡 那一部的赛车总动员2006年的这算致敬？,0,7608087748654911395,0.8582395070146184,赛车 总动员 致敬   2018 年 纳斯卡   一部 赛车 总动员 2006 年 这算 致敬
662342070962179,梓昫陛下📷,2026-02-19,湖南,错了，不是赛车总动员致敬，是赛车上的复刻,0,7608087748654911395,0.9935947000994703,错 赛车 总动员 致敬 赛车 复刻
1930351119704663,你可以叫我化腾（2026勇往直前版）,2026-02-19,山西,很像地平线5,0,7608087748654911395,0.7499999999999999,地平线
94365510412,Racing,2026-02-20,广东,还有少林足球,0,7608087748654911395,0.7590970359833034,少林足球
96940310200,.Ambition,2026-04-27,山西,内燃机永不落幕[流泪][流泪],10,7629631847580761798,0.9618847489282839,内燃机 永不 落幕 [ 流泪 ] [ 流泪 ]
103581148704,河东的天空,2026-04-26,山西,评论区某些人对电影延期有意见的话，是不是应该先批判一下。疯狂动物城2，去年11月放到今年清明下下线，电影院放完之后上线了平台云影院卖几个月，才能vip免费看？,4,7629631847580761798,0.2356520322227782,评论 区 电影 延期 意见 是不是 应该 先 批判 一下 疯狂 动物 城 去年 11 月 放到 今年 清明 下线 电影院 放 完 之后 上线 平台 云 影院 卖 几个 月 vip 免费
106412545121,她胃不好总吃辣,2026-04-26,四川,凌晨场没人，包场[看],4,7629631847580761798,0.17675197745172644,凌晨 场 没人 包场 [ ]
2440569126134215,^_^,2026-04-26,河北,,0,7629631847580761798,0.5,nan
2440569126134215,^_^,2026-04-26,河北,,0,7629631847580761798,0.5,nan
1416592722508494,楊啸野,2026-04-26,河北,我没有想赢，我只是不想输[赞],0,7629631847580761798,0.9203402332496174,没有 想 赢 不想 输 [ 赞 ]
3801466683525305,辞修,2026-04-26,甘肃,3分钟前,0,7629631847580761798,0.48236663090658827,分钟 前
1337443541582125,小伍,2026-03-14,四川,你开过鸿蒙智行的gt7吗,0,7607677812887113012,0.1203916916133021,开过 鸿蒙 智行 gt7
92628213241,挖矿小能手,2026-02-17,山东,这片女主演的最好,0,7607677812887113012,0.9025360840593916,这片 女 主演 最好
4406465880932151,八方叻,2026-02-17,陕西,四海的后劲太大，到现在都没缓过来,23,7607677812887113012,0.6111257681168177,四海 后劲 太 现在 没缓 过来
2889170710954691,维修区刷紫,2026-02-17,江苏,看到小周了[色][色][色],1,7607677812887113012,0.022810725170227086,看到 小周 [ 色 ] [ 色 ] [ 色 ]
2225010997997182,茉域美学·小管老师,2026-02-17,广东,如果我没记错的话好像韩寒拿了两次年度总冠军,9,7607677812887113012,0.9453080027102991,没 记错 好像 韩寒 两次 年度 总冠军
22355850248,MMM,2026-02-17,河南,堂主 不干二手车了[杀马特],0,7607677812887113012,0.05633697242315172,堂主   不干 二手车 [ 杀马特 ]
3649994470992711,秋水仙素,2026-02-17,湖北,我想起当年林志颖开特斯拉的事…想想特斯拉车主真要感谢小米[呲牙],5,7607677812887113012,0.9756009503332242,想起 当年 林志颖 开 特斯拉 事 … 想想 特斯拉 车主 真 感谢 小米 [ 呲 牙 ]
103803398188,你好我叫谢小萌，叫我查尔斯好了,2026-02-17,四川,最感动的一慕,3,7607677812887113012,0.8725630255581879,感动 一慕
87091881162,幼稚园shark,2026-02-22,上海,大概十几年前，遇到过一位CTCC某厂队技师，同样的问题，他是这么说的文坛跑的最快的，车手写作最牛的。 主要还是333实力强。,2,7607677812887113012,0.9992465803336154,大概 十几年 前 遇到 一位 CTCC 某厂 队 技师 同样 问题 说 文坛 跑 最快 车手 写作 最牛   主要 333 实力 强
95668146791,谁稀罕,2026-02-17,湖北,,1,7607677812887113012,0.5,nan
67148183064,一昂yang,2026-02-20,江苏,斯堪的纳维亚钟摆需要和手刹结合吗？,0,7607677812887113012,0.06906367468503327,斯堪的纳维亚 钟摆 需要 手刹 结合
3623623031791407,游戏天下,2026-02-21,安徽,难怪一个女的都没有[微笑],0,7607677812887113012,0.6922311090920938,难怪 一个 女 没有 [ 微笑 ]
4160184803929438,金戈,2026-02-17,辽宁,刚看完，牛逼，好看,1,7607677812887113012,0.9104124174292142,刚看 完 牛 逼 好看
4481259555520836,嘔霍,2026-02-17,上海,什么时候上4啊,0,7607677812887113012,0.5,
103204864476,好小仔🤒,2026-02-20,江苏,确实写实 因为张臻东ctcc也是个人车手[大笑],0,7607677812887113012,0.8900380711874847,确实 写实   张臻东 ctcc 个人 车手 [ 大笑 ]
2358877304663287,独自离开,2026-02-17,四川,全片就给我一个字，爽,1,7607677812887113012,0.45239096472125984,全片 一个 字 爽
4283345935018072,tcoftc,2026-02-17,重庆,拉力赛还有undercut[捂脸],0,7607677812887113012,0.037033168186554444,拉力赛 undercut [ 捂脸 ]
96195210880,FT,2026-02-18,江苏,讲拍摄故事的电影还是要慎重,0,7607677812887113012,0.8502886409932502,讲 拍摄 故事 电影 慎重
7595139748772676665,知足长乐,2026-02-17,浙江,,0,7607677812887113012,0.5,nan
4059002086899283,看不到你确看到了他,2026-02-22,宁夏,前半段我直接睡着了,0,7607677812887113012,0.4929390348650582,前半段 直接 睡着
51547628856,在路上，莫回首,2026-02-18,江苏,隔壁猴哥已经解密了550w一台，一共四台车,38,7607672025821570725,0.19234110652540237,隔壁 猴哥 已经 解密 550w 一台 一共 四台 车
805266667605072,纯会长,2026-03-03,浙江,加油!超越那台黄色路特斯!!![比心][比心][比心][比心],0,7607672025821570725,0.7855557852616354,加油 ! 超越 那台 黄色 路 特斯 ! ! ! [ 比心 ] [ 比心 ] [ 比心 ] [ 比心 ]
92465742985,、凉水好凉,2026-02-22,浙江,刚刷到猴哥说了530w一台，这样的车准备了4台,1,7607672025821570725,0.33464469661656393,刚刷 猴哥 说 530w 一台 车 准备 台
65038907123,ALTEZZA咬地鲨🦈🦈🦈,2026-02-22,吉林,为啥不用rs3呢,0,7607672025821570725,0.02569928536099797,为啥 不用 rs3
94261631996,小孙手抖拧不紧,2026-02-20,湖北,“跟我玩脏！哈哈哈哈哈哈”[图片表情],0,7607672025821570725,0.9835846325730327,玩脏 哈哈哈 哈哈哈 [ 图片 表情 ]
85045001166,Leon·Maxim,2026-02-21,广西,帅就完事了[看],1,7607672025821570725,0.6941438422881845,帅 完事 [ ]
82557783094,遛街大爷,2026-02-17,江苏,去查查pegasus 是啥吧,1,7607672025821570725,0.40306518103660505,查查 pegasus  
105044683343,咬一口汉堡🍔,2026-02-19,河北,我不是想赢，我只是不想输,0,7607672025821570725,0.5344940222140927,想 赢 不想 输
2722025785531643,宫二头肌,2026-02-19,广西,是不是已经开始开拍了？,3,7607672025821570725,0.5,是不是 已经 开拍
290701259311004,用户8813278653734,2026-02-21,浙江,真车买不起呀，没钱[捂脸]打算去买个车模。[捂脸],0,7607672025821570725,3.123266341342745e-05,真车 买不起 没 钱 [ 捂脸 ] 打算 买个 车模 [ 捂脸 ]
3456499861689213,我是井盖，只求路过,2026-02-19,江苏,你来拍飞驰4吧，线索已经给你了,1,7607672025821570725,0.7879097070585489,拍 飞驰 线索 已经
3935848700853051,万一？,2026-02-20,四川,主播晚上好漂亮[感谢][感谢][感谢][鼓掌][鼓掌][鼓掌][鼓掌][赞][赞][赞],0,7607672025821570725,0.9999991148502473,主播 晚上 漂亮 [ 感谢 ] [ 感谢 ] [ 感谢 ] [ 鼓掌 ] [ 鼓掌 ] [ 鼓掌 ] [ 鼓掌 ] [ 赞 ] [ 赞 ] [ 赞 ]
57811769841,王者zz,2026-02-19,上海,该上传统手艺了[捂脸][捂脸][捂脸],0,7607672025821570725,0.0007822862143992415,传统 手艺 [ 捂脸 ] [ 捂脸 ] [ 捂脸 ]
7417452681733866554,泛泛之辈,2026-02-25,河南,原来叶经理叫叶勇,0,7607672025821570725,0.9341431195350859,原来 叶 经理 叶勇
2258813724394867,关中王,2026-02-22,山东,4还出吗？,0,7607672025821570725,0.5573294629898403,出
461422904738909,誓要入刀山277,2026-02-22,山东,韩寒都拿冠军，我国的赛车水平应该不高,0,7607672025821570725,0.9997832837513551,韩寒 冠军 我国 赛车 水平 应该 不高
2069721619638411,梦里千百度寻她,2026-03-01,安徽,这场面是真[赞],42,7611843054722354474,0.9534292849280079,场面 真 [ 赞 ]
60948030205,珍惜,2026-03-01,广东,国版速度与激情[赞],42,7611843054722354474,0.9911926351134852,国版 速度 激情 [ 赞 ]
2375366634905376,F莹,2026-03-29,黑龙江,只要没有绿幕就好,0,7611843054722354474,0.5,没有 绿幕
58718627279,爱莎ELSA,2026-03-01,辽宁,牛👍,1,7611843054722354474,0.6000799053524202,牛 👍
1399047716086792,路过呀,2026-04-25,河南,夏天开始了，来你最想去哪里玩，一人一个,8,7632590658839562853,0.6684953165078708,夏天 想 玩 一人 一个
1399047716086792,路过呀,2026-04-25,河南,[戳手手]其实我挺好奇的有多少人怕水,5,7632590658839562853,0.7753544981740161,[ 戳 手手 ] 其实 挺 好奇 怕水
2305036524465128,叙白,2026-04-27,安徽,请把背景音乐换成逮虾户,0,7632590658839562853,0.08885764201223556,请 背景音乐 换成 逮虾 户
69805141316,神明偏爱鹿🦌,2026-04-25,福建,刺激哦 就是有点短[看],0,7632590658839562853,0.5836529260482329,刺激   有点 短 [ ]
87123769790,爱摊手23,2026-04-26,江西,@Keroro 带哥哥我去玩,0,7632590658839562853,0.9853364583502396,@ Keroro   带 哥哥 玩
2168666046610951,🌈雲邊小賣鋪🚢,2026-04-25,贵州,饶饶哥哥去估计胆子都要吓破了[看],0,7632590658839562853,0.8744273516697442,饶 饶 哥哥 估计 胆子 吓破 [ ]
102872643524,小白同学^_^,2026-04-25,山西,小心翻车,0,7632590658839562853,0.22828356787486082,小心 翻车
87626797363,一介散修⸂⸂⸜👊⸝⸃⸃,2026-04-25,福建,刺激啊 宝贝[舔屏],1,7632590658839562853,0.8947762220533209,刺激   宝贝 [ 舔 屏 ]
875641165330387,简～爱🌹,2026-04-26,江西,看你玩，感觉方向盘要打冒烟了[尬笑],0,7632590658839562853,0.7725808610379121,玩 感觉 方向盘 冒烟 [ 尬 笑 ]
3259388045040708,潇洒的过客,2026-04-25,广东,去找范范吗,0,7632590658839562853,0.5652992109019419,找 范范
3289367990787944,-A7,2026-04-25,广东,来了来了,0,7632590658839562853,0.5,
4081835274410112,Ronnie Barnes上校,2026-04-26,广东,I  ?,0,7632590658839562853,0.1785714285714285,I    
1662059707368510,一池萍碎,2026-04-26,广东,好刺激啊,0,7632590658839562853,0.7187500000000002,刺激
84753889893,是婧婧吖（备战新疆➕阿拉木图）,2026-04-25,陕西,好玩  想玩,0,7632590658839562853,0.8803574240752903,好玩     想 玩
96678717849,克林想要自由(想爬雪山版）,2026-04-25,四川,@欢喜小琴子 这个好耍,0,7632590658839562853,0.6762336242905579,@ 欢喜 小琴子   好耍
97590842630,緣如水.,2026-04-25,浙江,玩漂流不去贵州？[撇嘴],0,7632590658839562853,0.24226783374620353,玩 漂流 不去 贵州 [ 撇嘴 ]
248908746073352,刘大胜,2026-04-25,四川,加油，兄弟[666][666][666][图片表情],0,7632590658839562853,0.8769654568548868,加油 兄弟 [ 666 ] [ 666 ] [ 666 ] [ 图片 表情 ]
93540693785,八方来财,2026-04-26,河南,@未知数X @「等风」,0,7632590658839562853,0.5161115885279244,@ 未知数 X   @ 「 风 」
4041435747192558,鼻屎拌饭还加蛋,2026-02-24,四川,最经典的场面 关灯超车,16,7608751381927044325,0.8226632306742503,经典 场面   关灯 超车
110179677270,蜘蛛侠侠,2026-02-28,湖北,电影里的A3和高尔夫那都不是一般炮！[666],2,7608751381927044325,0.7419591674824951,电影 里 A3 高尔夫 炮 [ 666 ]
1578542477883885,哈哈镜的一切,2026-02-21,上海,史蒂夫跑法,0,7608751381927044325,0.8630530555797126,史蒂夫 跑法
1854219736849130,黑狐狸,2026-03-13,广西,因为奥迪赞助了，要是奔驰赞助，电影就会换成奔驰车，宝马赞助就换成宝马车,27,7613305093735206184,0.9944611151889741,奥迪 赞助 奔驰 赞助 电影 会 换成 奔驰车 宝马 赞助 换成 宝马车
4147004218279624,塞拉飞,2026-03-10,云南,因为奥迪给钱了,4,7613305093735206184,0.6058165046540138,奥迪 给钱
96765356942,路过都要望一望,2026-02-27,广东,讲真，有韩寒坐镇，我觉得唔会因为编剧情而脱离实际，反而有更多真实背景故事,15,7611112604559215918,0.9906619919200477,讲真 韩寒 坐镇 觉得 唔 会 编剧 情而 脱离实际 更 真实 背景 故事
93562780167,嗯？,2026-02-26,广东,[看]只要看过拉力赛，就会觉得拍得算保守了，真实的拉力赛全速过弯 上坡等等，像飞起来一样[捂脸],3,7611112604559215918,0.005368204867901238,[ ] 看过 拉力赛 会 觉得 拍得算 保守 真实 拉力赛 全速 弯   上坡 飞 起来 [ 捂脸 ]
97418875391,YANSON,2026-02-27,广东,前驱车点跑拉力赛？[泪奔]智能分配都系有物理上噶四驱现有得比你分配啊。,0,7611112604559215918,0.6874354425287869,前 驱车 点 跑 拉力赛 [ 泪奔 ] 智能 分配 系有 物理 上噶四驱 现有 分配
3060653896248160,努力努力再努力,2026-02-18,北京,无门槛，没有设定，人设就是简单的脸谱。没有阅读障碍，全是情绪。一直加情绪，看的时候第一反应就是，就这？看完了才反应过来，原来是这！,29,7607883691171302682,0.9981666036420025,门槛 没有 设定 人设 简单 脸谱 没有 阅读障碍 全是 情绪 一直 加 情绪 第一 反应 完 反应 过来 原来
85178699194,白帝,2026-02-18,福建,F1>飞驰3>惊蛰>60分，都看过。,0,7607883691171302682,0.7475380314377303,F1 > 飞驰 > 惊蛰 > 60 分 看过
2177496062115167,Любители полетов,2026-04-23,北京,而且为什么飞驰人生三没有巴音布鲁克了，是因为巴音布鲁克这条赛道需要修柏油路，把以前的沙石路替换掉不能再拍了。,0,7618478809456692515,0.10199600189285019,飞驰 人生 三 没有 巴音 布鲁克 是因为 巴音 布鲁克 条 赛道 需要 修 柏油路 以前 沙石路 替换 掉 不能 拍
66398214319,𝗚𝗨𝗔𝗡𝗚𝗨𝗔𝗡-,2026-03-22,河南,有，只不过不是赛道,11,7618478809456692515,0.8854213940732721,只不过 赛道
3912506743982475,徐嘉泽😎,2026-04-03,吉林,有的有的，就在新疆，张弛原名沈腾,0,7618478809456692515,0.7552293787757273,新疆 张弛 原名 沈腾
97560800897,果汁分你一半,2026-04-27,浙江,林臻东:老子有钱，又不差这一次冠军,1,7632314296315405282,0.8219471569660688,林臻东 : 老子 有钱 不差 一次 冠军
1563919956836699,小小辰,2026-04-26,江苏,[吐血][吐血][吐血],0,7632872126056639089,0.023754383516768063,[ 吐血 ] [ 吐血 ] [ 吐血 ]
453466905122685,不慌不忙,2026-04-26,新疆,[玫瑰],0,7632872126056639089,0.7499999999999999,[ 玫瑰 ]
391846192220910,用户5024257542414,2026-04-26,广东,666,0,7632872126056639089,0.5,666
1735485880285280,我是小石头,2026-04-26,河北,1,0,7632872126056639089,0.5,
1563919956836699,小小辰,2026-04-26,江苏,[气球][气球][气球],0,7632872126056639089,0.8401482148303154,[ 气球 ] [ 气球 ] [ 气球 ]
2666784433118521,太子爷,2026-04-26,广东,[呲牙][呲牙],0,7632872126056639089,0.44767845850986676,[ 呲 牙 ] [ 呲 牙 ]
100778012882,sky,2026-03-05,河南,你们领导还催你涨粉吗？,0,7613732732329967973,0.20344721180096836,领导 催 涨粉
59473063800,CK_,2026-03-06,北京,多少键盘侠还没有一个女人懂车,0,7613732732329967973,0.665190264172037,键盘 侠 没有 一个 女人 懂车
2456728038026941,诗与远方宁采臣,2026-03-30,浙江,[图片表情],0,7613732732329967973,0.6533798506251355,[ 图片 表情 ]
109587640473,溺水鱼,2026-04-26,广东,说真的，在内娱没有男女恋爱戏份的电影，是真的少！什么电影都得加点爱情进去,18,7632998134435564850,0.9968618754594604,说真的 在内 娱 没有 男女 恋爱 戏份 电影 真的 少 电影 加点 爱情 进去
1802792984908990,没羽箭123456,2026-02-05,内蒙古,什么时候说电车代替油车？电车的出现是让工资少的人也来消费，至于高档燃油车有冲击，但很难淘汰，电车不自燃再说吧！,0,7602942739247860992,0.9998608248123564,说 电车 代替 油车 电车 出现 工资 少 消费 高档 燃油 车有 冲击 难 淘汰 电车 自燃
3021899851903704,ℕ𝒾𝒶𝓃 𝒳𝒾𝒶,2026-02-24,河北,你是最清醒的人，你对世间的一切都看的很透彻，所有的事情你都懂得，你总能提出最精准最准确的见解，你把人心看的很明白，和每个人的关系你都能精准把握，你掌握世界上所有小众正确的事情，这种众人皆醉我独醒的感觉让你觉得非常的爽，特立独行让你觉得你是为数不多的人才，你简直就是世界的观察者、真理的代言人、清醒的化身。在这庸庸碌碌的人群中，你犹如一把利刃，划破迷雾，看透人性深处的每一丝伪装与虚假。你总是站在绝对理性的制高点，用那双洞穿一切的眼睛，将隐藏在表象之下的本质毫无保留地揭露出来。每一次分析、每一次判断，都仿佛精准到令人叹为观止，击中事物的核心，闪耀着独一无二的智慧光芒。人类的愚钝与短视在你面前显得如此苍白无力，甚至连多余的掩饰都显得徒劳无功。在你眼中，这个世界的复杂不过是规则的堆叠，芸芸众生的努力不过是盲目的挣扎。而你的清醒，让这些愚昧显得更加可笑。你会看个几把[钱],2,7610022593114864313,1.0,清醒 世间 透彻 事情 懂得 总能 提出 精准 准确 见解 人心 明白 每个 关系 精准 把握 掌握 世界 众 正确 事情 这种 众人皆醉 独醒 感觉 觉得 非常 爽 特立独行 觉得 为数不多 人才 简直 世界 观察者 真理 代言人 清醒 化身 庸庸碌碌 人群 中 犹如 一把 利刃 划破 迷雾 看透 人性 深处 一丝 伪装 虚假 总是 站 绝对 理性 制高点 那双 洞穿 眼睛 隐藏 表象 之下 本质 毫无保留 揭露 一次 分析 一次 判断 仿佛 精准 令人 叹为观止 击中 事物 核心 闪耀着 独一无二 智慧 光芒 人类 愚钝 短视 面前 显得 苍白无力 多余 掩饰 显得 徒劳无功 眼中 世界 复杂 规则 堆叠 芸芸众生 努力 盲目 挣扎 清醒 愚昧 显得 更加 可笑 你会 看个 几把 [ 钱 ]
62418986419,东北粘苞米🌽,2026-03-09,吉林,感觉很好看啊 [抠鼻]  怎么那么爱挑毛病呢 [戳手手][图片表情],6,7610022593114864313,0.7106949168037153,感觉 好看   [ 抠 鼻 ]     爱 挑毛病   [ 戳 手手 ] [ 图片 表情 ]
